date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:52	84/84	---M-Z	200	added ('OK')	text/plain	etag:%2219d460bc716cd51:0%22	http://www.basantrubber.net/robots.txt		(from )
19:53:53	28228/28228	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:23:52%20GMT	http://www.basantrubber.net/	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/index.html	(from )
19:53:55	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/bagak/OneDrive/Desktop/Project2/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.basantrubber.net/)
19:53:59	14388/14388	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:23:57%20GMT	http://www.basantrubber.net/aboutus	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/aboutus.html	(from http://www.basantrubber.net/)
19:54:01	11013/11013	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2015%20Jun%202022%2014:23:55%20GMT	http://www.basantrubber.net/bundles/modernizr?v=qVODBytEBVVePTNtSFXgRX0NCEjh9U_Oj8ePaSiRcGg1	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/bundles/modernizr43eb	(from http://www.basantrubber.net/)
19:54:01	13365/13365	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:23:59%20GMT	http://www.basantrubber.net/aboutus/MissionVision	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/aboutus/MissionVision.html	(from http://www.basantrubber.net/)
19:54:03	13214/13214	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:01%20GMT	http://www.basantrubber.net/aboutus/OurValues	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/aboutus/OurValues.html	(from http://www.basantrubber.net/)
19:54:05	33782/33782	---M--	200	added ('OK')	image/png	etag:%22bb56b28bab64d51:0%22	http://www.basantrubber.net/images/logo.png	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/logo.png	(from http://www.basantrubber.net/)
19:54:05	320212/320212	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Jun%202022%2014:23:54%20GMT	http://www.basantrubber.net/Content/css?v=U8INsWj_uOEwxOrlVxdDfOA6uHfgHrhYyXTtU7seqZM1	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/Content/cssb8d0.css	(from http://www.basantrubber.net/)
19:54:05	14109/14109	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:03%20GMT	http://www.basantrubber.net/aboutus/Management	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/aboutus/Management.html	(from http://www.basantrubber.net/)
